Andover School District,,District
Ansonia School District,900901220,District
Ashford School District,,District
Avon School District,900302060,District
Barkhamsted School District,,District
Berlin School District,,District
Bethany School District,,District
Bethel School District,900104720,District
Bloomfield School District,900305910,District
Bolton School District,901306260,District
Bozrah School District,,District
Branford School District,900907310,District
Bridgeport School District,900108070,District
Bristol School District,900308490,District
Brookfield School District,900108980,District
Brooklyn School District,,District
Canaan School District,,District
Canterbury School District,,District
Canton School District,900312270,District
Chaplin School District,,District
Cheshire School District,900914160,District
Chester School District,,District
Clinton School District,900715350,District
Colchester School District,901115910,District
Colebrook School District,,District
Columbia School District,,District
Cornwall School District,,District
Coventry School District,,District
Cromwell School District,,District
Danbury School District,900118500,District
Darien School District,900118850,District
Deep River School District,,District
Derby School District,900919550,District
Eastford School District,,District
East Granby School District,900322070,District
East Haddam School District,,District
East Hampton School District,900722490,District
East Hartford School District,900322630,District
East Haven School District,900922910,District
East Lyme School District,901123400,District
Easton School District,,District
East Windsor School District,900324800,District
Ellington School District,901325360,District
Enfield School District,900325990,District
Essex School District,,District
Fairfield School District,900126620,District
Farmington School District,900327600,District
Franklin School District,,District
Glastonbury School District,900331240,District
Granby School District,900332640,District
Greenwich School District,900133620,District
Griswold School District,901133900,District
Groton School District,901134250,District
Guilford School District,900934950,District
Hamden School District,900935650,District
Hampton School District,,District
Hartford School District,900337070,District
Hartland School District,,District
Hebron School District,,District
Kent School District,,District
Killingly School District,901540500,District
Lebanon School District,901142390,District
Ledyard School District,901142600,District
Lisbon School District,,District
Litchfield School District,900543370,District
Madison School District,900944560,District
Manchester School District,900344700,District
Mansfield School District,,District
Marlborough School District,,District
Meriden School District,900946520,District
Middletown School District,900747360,District
Milford School District,900947535,District
Monroe School District,900148620,District
Montville School District,901148900,District
Naugatuck School District,900949950,District
New Britain School District,900350440,District
New Canaan School District,900150580,District
New Fairfield School District,900150860,District
New Hartford School District,,District
New Haven School District,900952070,District
Newington School District,900352140,District
New London School District,901152350,District
New Milford School District,900552630,District
Newtown School District,900152980,District
Norfolk School District,,District
North Branford School District,900953890,District
North Canaan School District,,District
North Haven School District,900954870,District
North Stonington School District,901155500,District
Norwalk School District,900156060,District
Norwich School District,901156270,District
Old Saybrook School District,900757320,District
Orange School District,,District
Oxford School District,900958300,District
Plainfield School District,901559980,District
Plainville School District,900360120,District
Plymouth School District,900560750,District
Pomfret School District,,District
Portland School District,900761800,District
Preston School District,,District
Putnam School District,901562710,District
Redding School District,,District
Ridgefield School District,900163970,District
Rocky Hill School District,900365370,District
Salem School District,,District
Salisbury School District,,District
Scotland School District,,District
Seymour School District,900967610,District
Sharon School District,,District
Shelton School District,900168170,District
Sherman School District,,District
Simsbury School District,900368940,District
Somers School District,901369220,District
Southington School District,900370550,District
South Windsor School District,900371390,District
Sprague School District,,District
Stafford School District,901372090,District
Stamford School District,900173070,District
Sterling School District,,District
Stonington School District,901173770,District
Stratford School District,900174190,District
Suffield School District,900374540,District
Thomaston School District,900575730,District
Thompson School District,901575870,District
Tolland School District,901376290,District
Torrington School District,900576570,District
Trumbull School District,900177200,District
Union School District,,District
Vernon School District,901378250,District
Voluntown School District,,District
Wallingford School District,900978740,District
Waterbury School District,900980070,District
Waterford School District,901180280,District
Watertown School District,900580490,District
Westbrook School District,900781680,District
West Hartford School District,900382590,District
West Haven School District,900982870,District
Weston School District,900183430,District
Westport School District,900183500,District
Wethersfield School District,900384900,District
Willington School District,,District
Wilton School District,900186370,District
Winchester School District,900586440,District
Windham School District,901586790,District
Windsor School District,900387000,District
Windsor Locks School District,900387070,District
Wolcott School District,900987560,District
Woodbridge School District,,District
Woodstock School District,,District
Regional School District 06,,District
Regional School District 10,,District
Regional School District 12,,District
Regional School District 13,,District
Regional School District 14,,District
Regional School District 15,,District
Regional School District 16,,District
Regional School District 17,,District
Regional School District 18,,District
Capitol Region Education Council,,District
Cooperative Educational Services,,District
Area Cooperative Educational Services,,District
Learn,,District
Jumoke Academy District,,District
Integrated Day Charter School District,,District
Side By Side Charter School District,,District
Amistad Academy District,,District
New Beginnings Inc. Family Academy District,,District
Highville Charter School District,,District
Charter School for Young Children on Asylum Hill,,District
Achievement First Hartford Academy Inc. District,,District
Elm City College Preparatory School District,,District
